match_no,date,time,timezone,home,away,venue,notes,stream_url,pipeline_status,match_id,source_video_path
32,2026-06-19,20:00,America/Los_Angeles,Turkiye,Paraguay,"Levi's Stadium (Santa Clara, CA, USA)",Group D,,planned,turkiye_paraguay_2026_06_19,
33,2026-06-20,12:00,America/Chicago,Netherlands,Sweden,"NRG Stadium (Houston, TX, USA)",Group F,,planned,netherlands_sweden_2026_06_20,
34,2026-06-20,16:00,America/Toronto,Germany,Ivory Coast,"BMO Field (Toronto, Canada)",Group E,,planned,germany_ivory_coast_2026_06_20,
35,2026-06-20,19:00,America/Chicago,Ecuador,Curacao,"Arrowhead Stadium (Kansas City, MO, USA)",Group E,,planned,ecuador_curacao_2026_06_20,
36,2026-06-20,22:00,America/Mexico_City,Tunisia,Japan,"Estadio BBVA (Monterrey, Mexico)",Group F - 1000th WC match,,planned,tunisia_japan_2026_06_20,
37,2026-06-21,12:00,America/New_York,Spain,Saudi Arabia,"Mercedes-Benz Stadium (Atlanta, GA, USA)",Group H,,planned,spain_saudi_arabia_2026_06_21,
38,2026-06-21,12:00,America/Los_Angeles,Belgium,Iran,"SoFi Stadium (Inglewood, CA, USA)",Group G,,planned,belgium_iran_2026_06_21,
39,2026-06-21,18:00,America/New_York,Uruguay,Cape Verde,"Hard Rock Stadium (Miami Gardens, FL, USA)",Group H,,planned,uruguay_cape_verde_2026_06_21,
40,2026-06-21,18:00,America/Vancouver,New Zealand,Egypt,"BC Place (Vancouver, Canada)",Group G,,planned,new_zealand_egypt_2026_06_21,
41,2026-06-22,12:00,America/Chicago,Argentina,Austria,"AT&T Stadium (Arlington, TX, USA)",Group J,,planned,argentina_austria_2026_06_22,
42,2026-06-22,17:00,America/New_York,France,Iraq,"Lincoln Financial Field (Philadelphia, PA, USA)",Group I,,planned,france_iraq_2026_06_22,
43,2026-06-22,20:00,America/New_York,Norway,Senegal,"MetLife Stadium (East Rutherford, NJ, USA)",Group I,,planned,norway_senegal_2026_06_22,
44,2026-06-22,20:00,America/Los_Angeles,Jordan,Algeria,"Levi's Stadium (Santa Clara, CA, USA)",Group J,,planned,jordan_algeria_2026_06_22,
45,2026-06-23,12:00,America/Chicago,Portugal,Uzbekistan,"NRG Stadium (Houston, TX, USA)",Group K,,planned,portugal_uzbekistan_2026_06_23,
46,2026-06-23,16:00,America/New_York,England,Ghana,"Gillette Stadium (Foxborough, MA, USA)",Group L,,planned,england_ghana_2026_06_23,
47,2026-06-23,19:00,America/Toronto,Panama,Croatia,"BMO Field (Toronto, Canada)",Group L,,planned,panama_croatia_2026_06_23,
48,2026-06-23,20:00,America/Mexico_City,Colombia,DR Congo,"Estadio Akron (Zapopan, Mexico)",Group K,,planned,colombia_dr_congo_2026_06_23,
49,2026-06-24,12:00,America/Vancouver,Switzerland,Canada,"BC Place (Vancouver, Canada)",Group B,,planned,switzerland_canada_2026_06_24,
50,2026-06-24,12:00,America/Los_Angeles,Bosnia and Herzegovina,Qatar,"Lumen Field (Seattle, WA, USA)",Group B,,planned,bosnia_and_herzegovina_qatar_2026_06_24,
51,2026-06-24,18:00,America/New_York,Scotland,Brazil,"Hard Rock Stadium (Miami Gardens, FL, USA)",Group C,,planned,scotland_brazil_2026_06_24,
52,2026-06-24,18:00,America/New_York,Morocco,Haiti,"Mercedes-Benz Stadium (Atlanta, GA, USA)",Group C,,planned,morocco_haiti_2026_06_24,
53,2026-06-24,19:00,America/Mexico_City,Czechia,Mexico,"Estadio Azteca (Mexico City, Mexico)",Group A,,planned,czechia_mexico_2026_06_24,
54,2026-06-24,19:00,America/Mexico_City,South Africa,South Korea,"Estadio BBVA (Monterrey, Mexico)",Group A,,planned,south_africa_south_korea_2026_06_24,
55,2026-06-25,16:00,America/New_York,Curacao,Ivory Coast,"Lincoln Financial Field (Philadelphia, PA, USA)",Group E,,planned,curacao_ivory_coast_2026_06_25,
56,2026-06-25,16:00,America/New_York,Ecuador,Germany,"MetLife Stadium (East Rutherford, NJ, USA)",Group E,,planned,ecuador_germany_2026_06_25,
57,2026-06-25,18:00,America/Chicago,Japan,Sweden,"AT&T Stadium (Arlington, TX, USA)",Group F,,planned,japan_sweden_2026_06_25,
58,2026-06-25,18:00,America/Chicago,Tunisia,Netherlands,"Arrowhead Stadium (Kansas City, MO, USA)",Group F,,planned,tunisia_netherlands_2026_06_25,
59,2026-06-25,19:00,America/Los_Angeles,Turkiye,USA,"SoFi Stadium (Inglewood, CA, USA)",Group D,,planned,turkiye_usa_2026_06_25,
60,2026-06-25,19:00,America/Los_Angeles,Paraguay,Australia,"Levi's Stadium (Santa Clara, CA, USA)",Group D,,planned,paraguay_australia_2026_06_25,
61,2026-06-26,15:00,America/New_York,Norway,France,"Gillette Stadium (Foxborough, MA, USA)",Group I,,planned,norway_france_2026_06_26,
62,2026-06-26,15:00,America/Toronto,Senegal,Iraq,"BMO Field (Toronto, Canada)",Group I,,planned,senegal_iraq_2026_06_26,
63,2026-06-26,19:00,America/Chicago,Cape Verde,Saudi Arabia,"NRG Stadium (Houston, TX, USA)",Group H,,planned,cape_verde_saudi_arabia_2026_06_26,
64,2026-06-26,18:00,America/Mexico_City,Uruguay,Spain,"Estadio Akron (Zapopan, Mexico)",Group H,,planned,uruguay_spain_2026_06_26,
65,2026-06-26,20:00,America/Los_Angeles,Egypt,Iran,"Lumen Field (Seattle, WA, USA)",Group G,,planned,egypt_iran_2026_06_26,
66,2026-06-26,20:00,America/Vancouver,New Zealand,Belgium,"BC Place (Vancouver, Canada)",Group G,,planned,new_zealand_belgium_2026_06_26,
67,2026-06-27,17:00,America/New_York,Panama,England,"MetLife Stadium (East Rutherford, NJ, USA)",Group L,,planned,panama_england_2026_06_27,
68,2026-06-27,17:00,America/New_York,Croatia,Ghana,"Lincoln Financial Field (Philadelphia, PA, USA)",Group L,,planned,croatia_ghana_2026_06_27,
69,2026-06-27,19:30,America/New_York,Colombia,Portugal,"Hard Rock Stadium (Miami Gardens, FL, USA)",Group K,,planned,colombia_portugal_2026_06_27,
70,2026-06-27,19:30,America/New_York,DR Congo,Uzbekistan,"Mercedes-Benz Stadium (Atlanta, GA, USA)",Group K,,planned,dr_congo_uzbekistan_2026_06_27,
71,2026-06-27,21:00,America/Chicago,Algeria,Austria,"Arrowhead Stadium (Kansas City, MO, USA)",Group J,,planned,algeria_austria_2026_06_27,
72,2026-06-27,21:00,America/Chicago,Jordan,Argentina,"AT&T Stadium (Arlington, TX, USA)",Group J,,planned,jordan_argentina_2026_06_27,
73,2026-06-28,12:00,America/Los_Angeles,Runner-up A,Runner-up B,"SoFi Stadium (Inglewood, CA, USA)",Round of 32 - Match 73,,planned,runner_up_a_runner_up_b_2026_06_28,
74,2026-06-29,12:00,America/Chicago,Winner C,Runner-up F,"NRG Stadium (Houston, TX, USA)",Round of 32 - Match 76,,planned,winner_c_runner_up_f_2026_06_29,
75,2026-06-29,16:30,America/New_York,Winner E,Best 3rd (A/B/C/D/F),"Gillette Stadium (Foxborough, MA, USA)",Round of 32 - Match 74,,planned,winner_e_best_3rd_a_b_c_d_f_2026_06_29,
76,2026-06-29,19:00,America/Mexico_City,Winner F,Runner-up C,"Estadio BBVA (Monterrey, Mexico)",Round of 32 - Match 75,,planned,winner_f_runner_up_c_2026_06_29,
77,2026-06-30,12:00,America/Chicago,Runner-up E,Runner-up I,"AT&T Stadium (Arlington, TX, USA)",Round of 32 - Match 78,,planned,runner_up_e_runner_up_i_2026_06_30,
78,2026-06-30,17:00,America/New_York,Winner I,Best 3rd (C/D/F/G/H),"MetLife Stadium (East Rutherford, NJ, USA)",Round of 32 - Match 77,,planned,winner_i_best_3rd_c_d_f_g_h_2026_06_30,
79,2026-06-30,19:00,America/Mexico_City,Winner A,Best 3rd (C/E/F/H/I),"Estadio Azteca (Mexico City, Mexico)",Round of 32 - Match 79,,planned,winner_a_best_3rd_c_e_f_h_i_2026_06_30,
80,2026-07-01,12:00,America/New_York,Winner L,Best 3rd (E/H/I/J/K),"Mercedes-Benz Stadium (Atlanta, GA, USA)",Round of 32 - Match 80,,planned,winner_l_best_3rd_e_h_i_j_k_2026_07_01,
81,2026-07-01,13:00,America/Los_Angeles,Winner G,Best 3rd (A/E/H/I/J),"Lumen Field (Seattle, WA, USA)",Round of 32 - Match 82,,planned,winner_g_best_3rd_a_e_h_i_j_2026_07_01,
82,2026-07-01,17:00,America/Los_Angeles,Winner D,Best 3rd (B/E/F/I/J),"Levi's Stadium (Santa Clara, CA, USA)",Round of 32 - Match 81,,planned,winner_d_best_3rd_b_e_f_i_j_2026_07_01,
83,2026-07-02,12:00,America/Los_Angeles,Winner H,Runner-up J,"SoFi Stadium (Inglewood, CA, USA)",Round of 32 - Match 84,,planned,winner_h_runner_up_j_2026_07_02,
84,2026-07-02,19:00,America/Toronto,Runner-up K,Runner-up L,"BMO Field (Toronto, Canada)",Round of 32 - Match 83,,planned,runner_up_k_runner_up_l_2026_07_02,
85,2026-07-02,20:00,America/Vancouver,Winner B,Best 3rd (E/F/G/I/J),"BC Place (Vancouver, Canada)",Round of 32 - Match 85,,planned,winner_b_best_3rd_e_f_g_i_j_2026_07_02,
86,2026-07-03,13:00,America/Chicago,Runner-up D,Runner-up G,"AT&T Stadium (Arlington, TX, USA)",Round of 32 - Match 88,,planned,runner_up_d_runner_up_g_2026_07_03,
87,2026-07-03,18:00,America/New_York,Winner J,Runner-up H,"Hard Rock Stadium (Miami Gardens, FL, USA)",Round of 32 - Match 86,,planned,winner_j_runner_up_h_2026_07_03,
88,2026-07-03,20:30,America/Chicago,Winner K,Best 3rd (D/E/I/J/L),"Arrowhead Stadium (Kansas City, MO, USA)",Round of 32 - Match 87,,planned,winner_k_best_3rd_d_e_i_j_l_2026_07_03,
89,2026-07-04,12:00,America/Chicago,Winner 73,Winner 75,"NRG Stadium (Houston, TX, USA)",Round of 16 - Match 90,,planned,winner_73_winner_75_2026_07_04,
90,2026-07-04,17:00,America/New_York,Winner 74,Winner 77,"Lincoln Financial Field (Philadelphia, PA, USA)",Round of 16 - Match 89,,planned,winner_74_winner_77_2026_07_04,
91,2026-07-05,16:00,America/New_York,Winner 76,Winner 78,"MetLife Stadium (East Rutherford, NJ, USA)",Round of 16 - Match 91,,planned,winner_76_winner_78_2026_07_05,
92,2026-07-05,18:00,America/Mexico_City,Winner 79,Winner 80,"Estadio Azteca (Mexico City, Mexico)",Round of 16 - Match 92,,planned,winner_79_winner_80_2026_07_05,
93,2026-07-06,14:00,America/Chicago,Winner 83,Winner 84,"AT&T Stadium (Arlington, TX, USA)",Round of 16 - Match 93,,planned,winner_83_winner_84_2026_07_06,
94,2026-07-06,17:00,America/Los_Angeles,Winner 81,Winner 82,"Lumen Field (Seattle, WA, USA)",Round of 16 - Match 94,,planned,winner_81_winner_82_2026_07_06,
95,2026-07-07,12:00,America/New_York,Winner 86,Winner 88,"Mercedes-Benz Stadium (Atlanta, GA, USA)",Round of 16 - Match 95,,planned,winner_86_winner_88_2026_07_07,
96,2026-07-07,13:00,America/Vancouver,Winner 85,Winner 87,"BC Place (Vancouver, Canada)",Round of 16 - Match 96,,planned,winner_85_winner_87_2026_07_07,
97,2026-07-09,16:00,America/New_York,Winner 89,Winner 90,"Gillette Stadium (Foxborough, MA, USA)",Quarterfinal - Match 97,,planned,winner_89_winner_90_2026_07_09,
98,2026-07-10,12:00,America/Los_Angeles,Winner 93,Winner 94,"SoFi Stadium (Inglewood, CA, USA)",Quarterfinal - Match 98,,planned,winner_93_winner_94_2026_07_10,
99,2026-07-11,17:00,America/New_York,Winner 91,Winner 92,"Hard Rock Stadium (Miami Gardens, FL, USA)",Quarterfinal - Match 99,,planned,winner_91_winner_92_2026_07_11,
100,2026-07-11,20:00,America/Chicago,Winner 95,Winner 96,"Arrowhead Stadium (Kansas City, MO, USA)",Quarterfinal - Match 100,,planned,winner_95_winner_96_2026_07_11,
101,2026-07-14,14:00,America/Chicago,Winner 97,Winner 98,"AT&T Stadium (Arlington, TX, USA)",Semifinal - Match 101,,planned,winner_97_winner_98_2026_07_14,
102,2026-07-15,15:00,America/New_York,Winner 99,Winner 100,"Mercedes-Benz Stadium (Atlanta, GA, USA)",Semifinal - Match 102,,planned,winner_99_winner_100_2026_07_15,
103,2026-07-18,17:00,America/New_York,Loser 101,Loser 102,"Hard Rock Stadium (Miami Gardens, FL, USA)",Third-place match - Match 103,,planned,loser_101_loser_102_2026_07_18,
104,2026-07-19,15:00,America/New_York,Winner 101,Winner 102,"MetLife Stadium (East Rutherford, NJ, USA)",Final - Match 104,,planned,winner_101_winner_102_2026_07_19,
